publishedDate,sourceLanguage,sourceRevisionId,sourceTitle,sourceURL,stats,targetLanguage,targetRevisionId,targetTitle,targetURL,translationId
20171006033352,en,795162132,Pakistan Steel Mills,//en.wikipedia.org/wiki/Pakistan Steel Mills,"{'any': 0.413045549838, 'human': 0.39822755860492, 'mt': 0.014817991233086, 'mtSectionsCount': 7}",ru,88151792,Pakistan Steel Mills,//ru.wikipedia.org/wiki/Pakistan Steel Mills,377189
20171006035554,en,803699343,Visakhapatnam Steel Plant,//en.wikipedia.org/wiki/Visakhapatnam Steel Plant,"{'any': 0.2543404735062, 'human': 0.25197294250282, 'mt': 0.0023675310033822, 'mtSectionsCount': 2}",ru,88151929,Вишахапатнамский металлургический завод,//ru.wikipedia.org/wiki/Вишахапатнамский металлургический завод,377193
20171006063534,en,802994753,Vagif Jazz Festival,//en.wikipedia.org/wiki/Vagif Jazz Festival,"{'any': 0.71774193548387, 'human': 0.71082949308756, 'mt': 0.0069124423963134, 'mtSectionsCount': 1}",ru,88153391,"Джазовый Фестиваль ""Vaqifsayağı""","//ru.wikipedia.org/wiki/Джазовый Фестиваль ""Vaqifsayağı""",377234
20171006065103,en,736304437,Harun and Leyla,//en.wikipedia.org/wiki/Harun and Leyla,"{'any': 0.98520710059172, 'human': 0.96745562130178, 'mt': 0.017751479289941, 'mtSectionsCount': 1}",ru,88153620,Гарун и Лейла ,//ru.wikipedia.org/wiki/Гарун и Лейла ,377245
20171006090957,en,801906342,List of highest-grossing concert tours,//en.wikipedia.org/wiki/List of highest-grossing concert tours,"{'any': 0.57101017622239, 'human': 0.3307520476545, 'mt': 0.24025812856788, 'mtSectionsCount': 3}",ru,88155567,Список самых кассовых концертных туров,//ru.wikipedia.org/wiki/Список самых кассовых концертных туров,377296
20171006152253,en,803635489,Akira Ifukube,//en.wikipedia.org/wiki/Akira Ifukube,"{'any': 0.60031578947368, 'human': 0.52863157894737, 'mt': 0.071684210526316, 'mtSectionsCount': 3}",ru,88161942,"Ифукубэ, Акира","//ru.wikipedia.org/wiki/Ифукубэ, Акира",377318
20171006093246,en,804038721,International Campaign to Abolish Nuclear Weapons,//en.wikipedia.org/wiki/International Campaign to Abolish Nuclear Weapons,"{'any': 0.068718753063425, 'human': 0.0051955690618567, 'mt': 0.063523184001568, 'mtSectionsCount': 2}",ru,88155991,Международная кампания за запрещение ядерного оружия,//ru.wikipedia.org/wiki/Международная кампания за запрещение ядерного оружия,377320
20171006110045,en,803750588,Petubastis III,//en.wikipedia.org/wiki/Petubastis III,"{'any': 0.44119572332533, 'human': 0.43334060658957, 'mt': 0.0078551167357626, 'mtSectionsCount': 4}",ru,88157499,Петубаст III,//ru.wikipedia.org/wiki/Петубаст III,377328
20171006125730,en,769762885,UK Music Hall of Fame,//en.wikipedia.org/wiki/UK Music Hall of Fame,"{'any': 0.96144721233689, 'human': 0.96026097271649, 'mt': 0.0011862396204033, 'mtSectionsCount': 1}",ru,88159403,UK Music Hall of Fame,//ru.wikipedia.org/wiki/UK Music Hall of Fame,377359
20171006145443,en,804031396,List of awards and nominations received by Madonna,//en.wikipedia.org/wiki/List of awards and nominations received by Madonna,"{'any': 0.63321239942742, 'human': 0.34762327854287, 'mt': 0.28558912088455, 'mtSectionsCount': 172}",ru,88161405,Участник:Tintin-tintine/List of awards and nominations received by Madonna,//ru.wikipedia.org/wiki/Участник:Tintin-tintine/List of awards and nominations received by Madonna,377396
